county,state,voteshare,year,dem1912_3party,note,incparty,incumbency,attacks,electionyearattacks,coastal
BARBOUR,AL,0.984749436378479,1912,0.9159067869186401,.,-1,-1,0,0,0
BARBOUR,AL,0.9653061032295227,1916,NA,.,1,1,0,0,0
BARBOUR,AL,0.8850806355476379,1920,NA,.,1,0,0,0,0
BARBOUR,AL,0.9453044533729553,1924,NA,.,-1,-1,0,0,0
BARBOUR,AL,0.6404040455818176,1928,NA,.,-1,0,0,0,0
BARBOUR,AL,0.9719157218933105,1932,NA,.,-1,-1,0,0,0
BARBOUR,AL,0.979899525642395,1936,NA,.,1,1,0,0,0
BARBOUR,AL,0.9628514051437378,1940,NA,.,1,1,0,0,0
BARBOUR,AL,0.9713408350944519,1944,NA,.,1,1,0,0,0
BARBOUR,AL,0.9435797929763794,1948,NA,.,1,1,0,0,0
BARBOUR,AL,0.738216757774353,1952,NA,.,1,0,0,0,0
BARBOUR,AL,0.7649999856948853,1956,NA,.,-1,-1,0,0,0
BARBOUR,AL,0.6625999808311462,1960,NA,.,-1,0,0,0,0
BARBOUR,AL,0,1964,NA,.,1,1,0,0,0
BARBOUR,AL,0.8309999704360962,1968,NA,.,1,0,0,0,0
BARBOUR,AL,0.2702000141143799,1972,NA,.,-1,-1,0,0,0
BARBOUR,AL,0.5572999715805054,1976,NA,.,-1,-1,0,0,0
BARBOUR,AL,0.5166000127792358,1980,NA,.,1,1,0,0,0
BARBOUR,AL,0.45680001378059387,1984,NA,.,-1,-1,0,0,0
BARBOUR,AL,0.43619999289512634,1988,NA,.,-1,0,0,0,0
BARBOUR,AL,0.5194000005722046,1992,NA,.,-1,-1,0,0,0
BARBOUR,AL,0.5688999891281128,1996,NA,.,1,1,0,0,0
BARBOUR,AL,0.5414999723434448,2e3,NA,.,1,0,0,0,0
BARBOUR,AL,0.450300008058548,2004,NA,.,-1,-1,0,0,0
BARBOUR,AL,0.4927000105381012,2008,NA,.,-1,0,0,0,0
BARBOUR,AL,0.515775740146637,2012,NA,.,1,1,0,0,0
BIBB,AL,0.6459999680519104,1872,NA,.,-1,-1,0,0,0
BIBB,AL,0.7279999852180481,1876,NA,.,-1,0,0,0,0
BIBB,AL,0.8740000128746033,1880,NA,.,-1,0,0,0,0
BIBB,AL,0.6934673190116882,1884,NA,.,-1,0,0,0,0
BIBB,AL,0.5935613512992859,1888,NA,.,1,1,0,0,0
BIBB,AL,0.9909729361534119,1892,NA,.,-1,-1,0,0,0
BIBB,AL,0.601915180683136,1896,NA,.,1,0,0,0,0
BIBB,AL,0.6010581851005554,1900,NA,.,-1,-1,0,0,0
